PLAYER,SALARY,P_TOP20,SCORE,MODEL_SCORE,ODDS_SHARE,LEVERAGE,VEGAS_ODDS,SG_FORM,PCT_FORM_SHRUNK,SG_CH_SHRUNK,CUT_PERCENTAGE,FEDEX_CUP_POINTS,OWGR_RANK
Stephan Jaeger,6900,0.178,0.547,0.5921,0.0047,1.0,150.0,0.36,0.411,0.55,64.7,464.0,108.0
Jesper Svensson,6800,0.172,0.5369,0.5905,0.0047,-2.0,150.0,-0.02,0.464,-1.03,53.3,263.0,143.0
Aldrich Potgieter,6800,0.172,0.5268,0.577,0.0047,-5.0,150.0,-0.26,0.516,0.0,47.4,591.0,83.0
Steven Fisk,6900,0.172,0.5537,0.5935,0.0047,3.0,150.0,-0.23,0.476,-0.14,55.0,297.0,104.0
Mackenzie Hughes,7000,0.166,0.5436,0.591,0.0047,0.0,150.0,0.03,0.476,-0.02,61.1,204.0,91.0
Patrick Cantlay,10000,0.159,0.3171,0.6045,0.0001,91.5,1000.0,1.09,0.338,0.0,76.5,932.0,24.0
Lucas Glover,6800,0.158,0.5302,0.5826,0.0047,-4.0,150.0,-0.7,0.559,0.59,58.8,338.0,64.0
Zach Bauchou,7000,0.157,0.4782,0.5725,0.004,-4.5,175.0,0.23,0.419,0.0,68.8,288.0,206.0
Harry Hall,7000,0.155,0.4648,0.5696,0.004,-8.5,175.0,-0.0,0.504,-0.28,52.4,628.0,60.0
Taylor Pendrith,7100,0.154,0.448,0.5656,0.004,-13.5,175.0,-0.41,0.522,-0.18,65.0,280.0,51.0
William Mouw,6800,0.153,0.495,0.5751,0.004,0.5,175.0,-0.01,0.455,0.36,63.2,298.0,115.0
Patrick Fishburn,6700,0.153,0.4631,0.577,0.0035,12.0,200.0,0.17,0.437,1.38,66.7,155.0,126.0
Seamus Power,6800,0.149,0.4396,0.5714,0.0035,5.0,200.0,0.14,0.375,0.5,75.0,396.0,160.0
Zecheng Dou,6700,0.148,0.4329,0.57,0.0035,3.0,200.0,0.23,0.439,0.09,60.0,249.0,215.0
Luke Clanton,6900,0.147,0.5336,0.5878,0.0047,-3.0,150.0,-0.23,0.523,0.71,46.7,89.0,175.0
Thorbjorn Olesen,6900,0.147,0.4916,0.5748,0.004,-0.5,175.0,-0.12,0.481,-0.37,47.1,179.0,97.0
Austin Eckroat,7100,0.142,0.4883,0.5733,0.004,-1.5,175.0,0.04,0.43,0.45,76.5,189.0,123.0
Chandler Phillips,6600,0.142,0.4497,0.5727,0.0035,8.0,200.0,0.24,0.441,0.61,52.6,677.0,155.0
Taylor Moore,6900,0.138,0.4362,0.5707,0.0035,4.0,200.0,-0.08,0.453,0.92,58.8,375.0,165.0
Haotong Li,6700,0.138,0.406,0.561,0.0035,-5.0,200.0,-0.32,0.512,0.0,42.1,218.0,87.0
Matti Schmid,6800,0.138,0.4228,0.5667,0.0035,0.0,200.0,-0.19,0.459,0.4,63.2,579.0,88.0
Adrien Dumont de Chassart,6800,0.134,0.4161,0.566,0.0035,-2.0,200.0,0.06,0.462,-0.29,50.0,189.0,156.0
Matt Kuchar,6500,0.133,0.4463,0.5725,0.0035,7.0,200.0,0.09,0.445,0.88,60.0,229.0,136.0
Chandler Blanchet,6700,0.129,0.4027,0.561,0.0035,-6.0,200.0,-0.38,0.528,0.0,50.0,182.0,118.0
Tom Hoge,6700,0.127,0.4094,0.5629,0.0035,-4.0,200.0,-0.57,0.544,0.33,62.5,380.0,99.0
Joel Dahmen,6500,0.126,0.4262,0.5669,0.0035,1.0,200.0,-0.09,0.498,-0.3,52.9,237.0,213.0
Mark Hubbard,6600,0.125,0.4195,0.5665,0.0035,-1.0,200.0,-0.47,0.541,1.07,55.0,129.0,120.0
Davis Riley,6700,0.123,0.3792,0.5531,0.0035,-13.0,200.0,-0.84,0.538,0.31,42.1,299.0,101.0
Davis Chatfield,6300,0.123,0.396,0.5563,0.0035,-8.0,200.0,-0.08,0.541,0.0,28.6,88.0,224.0
Patrick Rodgers,6400,0.119,0.3238,0.5543,0.0023,7.5,300.0,-0.48,0.428,0.6,78.3,763.0,121.0
A.J. Ewart,6600,0.116,0.3372,0.5589,0.0023,11.5,300.0,0.26,0.387,0.0,73.3,304.0,495.0
Austin Smotherman,6600,0.113,0.3389,0.5501,0.0028,-3.0,250.0,-0.48,0.476,0.36,55.6,495.0,130.0
David Lipsky,6500,0.111,0.3523,0.5545,0.0028,1.0,250.0,-0.03,0.497,0.31,52.9,486.0,144.0
Karl Vilips,6600,0.11,0.3289,0.549,0.0028,-6.0,250.0,-0.3,0.478,1.2,52.9,181.0,145.0
Neal Shipley,6700,0.109,0.3188,0.5451,0.0028,-9.0,250.0,-0.33,0.538,0.0,40.0,47.0,93.0
Takumi Kanaya,6500,0.108,0.3557,0.5558,0.0028,2.0,250.0,-0.1,0.46,-0.03,61.1,253.0,116.0
Garrick Higgo,6500,0.106,0.2836,0.5418,0.0023,-4.5,300.0,-0.53,0.55,-1.17,38.9,217.0,66.0
Brandt Snedeker,6500,0.104,0.3356,0.5501,0.0028,-4.0,250.0,-0.22,0.478,-0.44,53.3,165.0,290.0
Chad Ramey,6400,0.102,0.307,0.5499,0.0023,2.5,300.0,-0.35,0.436,-0.64,66.7,432.0,167.0
Webb Simpson,6600,0.102,0.3121,0.5419,0.0028,-11.0,250.0,-0.51,0.523,1.71,44.4,90.0,443.0
Adrien Saddier,6400,0.101,0.2601,0.5389,0.002,0.5,350.0,-0.41,0.495,0.0,53.3,66.0,74.0
Vince Whaley,6400,0.1,0.3003,0.5539,0.002,12.5,350.0,-0.05,0.474,-0.94,50.0,261.0,106.0
Hank Lebioda,6300,0.095,0.2483,0.542,0.0018,10.0,400.0,-0.04,0.488,-0.32,50.0,124.0,193.0
Matthieu Pavon,6400,0.094,0.297,0.5462,0.0023,-0.5,300.0,-0.25,0.461,-0.8,52.6,240.0,236.0
Erik van Rooyen,6300,0.093,0.2148,0.5285,0.0018,0.0,400.0,-0.07,0.531,-0.57,35.3,121.0,113.0
Justin Lower,6400,0.09,0.2768,0.5384,0.0023,-6.5,300.0,-0.6,0.516,0.17,35.7,75.0,157.0
Trace Crowe,6300,0.09,0.2601,0.5288,0.0023,-11.5,300.0,-0.88,0.522,1.32,33.3,18.0,182.0
Brice Garnett,6100,0.09,0.2534,0.5343,0.002,-1.5,350.0,-0.51,0.511,-0.3,33.3,182.0,307.0
Kevin Streelman,6200,0.089,0.2282,0.5304,0.0018,4.0,400.0,-0.31,0.486,0.3,53.8,88.0,442.0
Pontus Nyholm,6300,0.088,0.2013,0.5155,0.0018,-4.0,400.0,-0.63,0.511,0.0,28.6,154.0,265.0
Dylan Wu,6200,0.088,0.2114,0.5272,0.0018,-1.0,400.0,-0.55,0.486,-1.73,50.0,131.0,381.0
Lanto Griffin,6400,0.087,0.2081,0.5216,0.0018,-2.0,400.0,-0.53,0.536,0.65,38.5,50.0,185.0
Adam Svensson,6400,0.086,0.2466,0.5293,0.002,-3.5,350.0,-0.49,0.528,0.8,37.5,77.0,314.0
Hayden Springer,6200,0.084,0.2047,0.5207,0.0018,-3.0,400.0,-0.35,0.543,0.21,22.2,41.0,213.0
Ben Silverman,6300,0.078,0.2315,0.5486,0.0014,21.0,500.0,-0.0,0.462,0.12,50.0,116.0,230.0
Adam Schenk,6100,0.076,0.1527,0.5124,0.0012,8.5,600.0,-0.84,0.538,-0.99,42.9,616.0,135.0
Nick Dunlap,6300,0.076,0.1946,0.512,0.0018,-6.0,400.0,-1.0,0.529,-0.72,33.3,112.0,164.0
Aaron Wise,6500,0.076,0.2232,0.5048,0.0023,-22.5,300.0,-0.9,0.557,0.55,14.3,14.0,1000.0
Kensei Hirata,6100,0.074,0.1208,0.5036,0.0009,6.0,800.0,-0.9,0.516,0.0,42.9,89.0,153.0
John VanDerLaan,6200,0.065,0.1477,0.5004,0.0014,-4.0,500.0,-0.84,0.544,0.0,35.7,43.0,262.0
Brian Campbell,6200,0.063,0.1611,0.4912,0.0018,-16.0,400.0,-1.19,0.658,-0.03,42.9,102.0,71.0
Jeffrey Kang,6200,0.062,0.1107,0.4985,0.0009,3.0,800.0,-0.89,0.542,0.0,38.5,39.0,202.0
Camilo Villegas,6100,0.06,0.146,0.5096,0.0012,6.5,600.0,-0.52,0.508,-0.72,36.4,102.0,422.0
Jimmy Stanger,6100,0.06,0.1191,0.529,0.0001,32.5,1000.0,-0.11,0.478,0.0,41.7,166.0,1000.0
C.T. Pan,6300,0.058,0.1443,0.4991,0.0014,-5.0,500.0,-0.08,0.8,-0.14,58.3,0.0,376.0
Luke List,6200,0.058,0.1611,0.507,0.0014,0.0,500.0,-0.66,0.534,-1.31,33.3,16.0,400.0
Gordon Sargent,6200,0.055,0.1242,0.4623,0.0014,-11.0,500.0,-1.04,0.565,-0.78,30.8,22.0,945.0
Patton Kizzire,6000,0.055,0.0721,0.4606,0.0007,0.5,1000.0,-1.56,0.518,-0.38,33.3,132.0,242.0
Danny Walker,6100,0.054,0.0654,0.4592,0.0007,-1.5,1000.0,-1.35,0.542,-0.78,35.3,84.0,210.0
Stefano Mazzoli,6100,0.054,0.0956,0.4601,0.0012,-8.5,600.0,-1.41,0.54,0.0,0.0,0.0,343.0
Peter Malnati,6100,0.053,0.1074,0.493,0.0009,2.0,800.0,-1.0,0.545,0.26,38.5,53.0,457.0
Joe Highsmith,6200,0.052,0.1577,0.5068,0.0014,-1.0,500.0,-0.98,0.561,-0.72,42.9,79.0,112.0
Cam Davis,6100,0.05,0.1091,0.4629,0.0012,-4.5,600.0,-1.36,0.577,0.95,23.1,45.0,137.0
Kihei Akina,6500,0.043,0.0973,0.4441,0.0014,-19.0,500.0,-0.49,0.8,0.0,58.3,0.0,1000.0
Alejandro Tosti,6000,0.04,0.0755,0.4616,0.0007,1.5,1000.0,-1.77,0.578,-1.29,13.3,36.0,248.0
Tyler Collet,6000,0.039,0.0336,0.4344,0.0004,-2.0,1000.0,-0.29,0.515,0.0,0.0,0.0,1000.0
Christo Lamprecht,6000,0.038,0.0587,0.4537,0.0007,-3.5,1000.0,-2.05,0.58,0.0,15.4,16.0,146.0
William McGirt,6000,0.036,0.0856,0.4678,0.0007,4.5,1000.0,-0.01,0.8,-0.41,58.3,0.0,824.0
Marcelo Rozo,6000,0.03,0.0621,0.4568,0.0007,-2.5,1000.0,-1.29,0.601,0.0,14.3,6.0,453.0
Keenan Huskey,6000,0.026,0.0302,0.4233,0.0004,-3.0,1000.0,-3.08,0.522,0.0,0.0,0.0,1000.0
Rafael Campos,6000,0.025,0.0403,0.4464,0.0004,0.0,1000.0,-1.68,0.606,-1.01,12.5,12.0,382.0
Cooper Hrabak,6000,0.019,0.0168,0.4204,0.0001,-1.0,1000.0,-0.34,0.8,0.0,58.3,0.0,1000.0
Lorenzo Rodriguez,6000,0.019,0.0168,0.4202,0.0002,-3.0,1000.0,-0.34,0.8,0.0,58.3,0.0,1000.0
