PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Ricky Castillo,6900,0.14694261101664413,54.6,60.6,200.0,60.0,200.0,211,28,32,63,42,145,79,174,3,54,22,36,82,8,25
Luke List,6200,0.14692876562806587,70.1,79.0,500.0,47.1,197.0,108,154,10,175,143,150,163,175,127,123,16,17,92,134,110
Austin Eckroat,7100,0.14501463836749431,56.6,53.0,100.0,57.9,69.0,420,117,61,91,158,125,97,40,155,135,73,134,34,98,166
Jesper Svensson,6900,0.1433349110969931,53.6,60.6,150.0,72.7,122.0,168,71,7,159,66,49,16,161,84,7,35,7,138,137,152
Matt Kuchar,6800,0.1430412755639049,45.1,47.3,150.0,78.6,134.0,286,118,143,131,35,25,115,40,22,153,164,174,64,167,5
Carson Young,6500,0.14291748540080457,59.1,55.5,250.0,58.8,163.0,404,76,25,107,138,121,121,61,35,173,92,156,23,48,53
Takumi Kanaya,6500,0.14235794175055144,70.4,60.6,150.0,30.0,169.0,109,104,61,153,47,18,139,33,48,114,88,172,4,88,8
Taylor Moore,7500,0.14036659226717993,45.0,90.0,100.0,76.5,89.0,448,25,24,99,10,138,87,85,84,5,28,28,104,39,65
Kevin Kisner,6200,0.13963646415267167,82.6,65.1,1000.0,18.2,922.0,27,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Danny Walker,6400,0.13190279397405796,59.6,60.6,300.0,44.4,183.0,351,27,87,36,27,106,8,61,84,20,93,36,145,103,102
Brian Campbell,6400,0.13114815646695224,61.0,60.6,200.0,53.8,100.0,604,127,175,24,30,40,77,10,145,140,118,180,19,119,111
Max McGreevy,6700,0.13020962313847825,57.1,52.0,200.0,50.0,82.0,273,50,38,47,131,116,99,95,84,70,39,131,18,80,147
Seamus Power,7000,0.1267532614260804,53.5,90.0,125.0,50.0,127.0,691,62,97,77,60,146,130,7,155,81,53,112,44,76,51
Justin Lower,6500,0.12605292945651975,59.9,73.5,200.0,50.0,103.0,674,153,118,100,169,27,109,145,48,123,93,128,53,120,63
Charley Hoffman,6900,0.12598558096478327,57.6,45.7,200.0,62.5,124.0,271,33,70,28,73,174,92,111,22,81,27,48,83,59,14
Chris Gotterup,7000,0.12411898204615227,70.0,90.0,150.0,37.5,195.0,147,95,42,137,114,103,45,15,22,81,47,12,142,21,6
Ben Kohles,6200,0.12378115386560813,65.3,90.0,400.0,52.9,179.0,151,104,91,104,120,114,103,56,35,123,68,163,2,30,37
Joe Highsmith,7000,0.1236432653792282,45.9,60.6,150.0,70.0,60.0,1155,130,104,96,142,37,40,111,127,61,74,122,47,165,149
Victor Perez,6800,0.12342316034239494,54.8,70.0,150.0,66.7,105.0,222,63,30,64,154,66,114,135,35,40,10,85,15,31,43
Lee Hodges,7300,0.12077379099932117,45.4,25.3,150.0,66.7,112.0,478,53,95,34,102,56,67,161,11,4,18,63,49,38,62
Greyson Sigg,6300,0.11679727956954525,56.4,90.0,400.0,52.9,198.0,422,55,92,54,82,163,171,61,66,153,109,154,38,71,42
Brice Garnett,6300,0.11677677709731102,65.6,69.0,400.0,53.8,187.0,126,109,99,152,23,61,136,15,22,135,89,169,8,18,10
Kurt Kitayama,7600,0.11407639482664775,53.3,34.5,100.0,60.0,101.0,362,37,13,94,58,153,71,85,100,30,46,6,147,111,90
Beau Hossler,6700,0.1140751702562222,44.8,62.5,150.0,83.3,95.0,667,138,166,150,6,55,106,95,145,114,170,79,170,176,74
Joel Dahmen,6600,0.11272577799870076,58.4,58.0,200.0,52.6,146.0,341,39,41,25,136,138,94,111,22,70,31,123,13,56,32
Danny Willett,6200,0.11171098702058366,65.6,90.0,600.0,44.4,342.0,108,94,113,162,4,13,180,33,66,180,155,164,66,128,2
John Pak,6000,0.106758526661902,63.5,90.0,1000.0,75.0,266.0,66,131,161,72,93,174,175,95,173,123,111,171,24,140,67
Kevin Roy,6600,0.10561691770307183,58.5,60.6,250.0,50.0,189.0,159,67,36,118,89,98,87,61,11,70,7,55,42,40,60
Vince Whaley,6700,0.10549397684899131,56.2,55.0,150.0,61.1,136.0,378,135,84,145,122,62,143,25,100,9,129,43,164,92,29
Emiliano Grillo,7400,0.10483345149967682,60.7,35.4,100.0,61.5,166.0,242,143,102,87,175,48,119,95,100,156,42,120,31,129,155
Karl Vilips,6400,0.10192108125305818,71.8,60.6,250.0,50.0,118.0,37,158,157,64,164,169,45,33,84,160,70,32,135,47,176
Hayden Buckley,6300,0.09959517128470574,88.2,61.7,300.0,7.1,353.0,4,152,11,144,179,160,154,170,100,148,22,90,28,67,96
Steven Fisk,6600,0.09954738330938162,64.0,60.6,250.0,50.0,157.0,94,16,21,56,36,166,129,111,100,9,4,25,69,13,93
Max Greyserman,7600,0.09675409651543113,37.6,90.0,100.0,82.4,46.0,461,134,151,126,60,23,21,135,100,30,110,40,153,126,159
Aldrich Potgieter,6400,0.09544908239134357,69.4,60.6,250.0,30.0,142.0,355,136,8,151,172,58,108,61,166,170,69,1,165,144,174
Ben Silverman,6500,0.09390524332957104,71.7,27.7,250.0,35.7,209.0,181,151,109,168,62,74,176,111,145,96,125,107,98,151,41
Chan Kim,6600,0.09241232541192711,55.4,90.0,200.0,62.5,138.0,251,92,164,37,65,108,80,7,127,70,82,90,83,95,75
Patrick Fishburn,6500,0.09215970497442284,54.7,60.6,250.0,52.6,115.0,587,81,56,86,132,133,150,157,66,89,148,60,163,52,114
Camilo Villegas,6000,0.09206116831977396,71.1,83.0,1000.0,47.1,271.0,130,160,173,101,68,59,140,95,127,156,180,166,176,158,134
Sami Valimaki,6900,0.09177111214121036,53.4,90.0,200.0,68.8,102.0,358,89,149,23,135,10,85,111,66,70,111,105,90,84,85
Will Chandler,6000,0.09088179054753617,76.6,60.6,1000.0,30.0,260.0,103,164,103,178,74,47,159,135,145,165,142,143,70,172,94
Chandler Phillips,6700,0.08949486855710705,48.9,12.0,200.0,72.2,155.0,352,108,137,89,81,136,149,61,155,96,129,140,67,155,88
Matti Schmid,6700,0.08905233717875168,60.2,90.0,150.0,47.1,125.0,429,116,121,51,161,87,26,25,127,20,47,13,141,26,154
Adam Schenk,6500,0.0880555259601484,66.3,67.1,250.0,41.2,143.0,254,79,49,90,129,104,93,61,127,40,129,41,166,162,66
David Lipsky,6300,0.08641850595217195,66.8,24.3,500.0,41.2,203.0,488,121,160,82,51,177,173,130,174,61,151,165,62,136,61
Adam Svensson,6600,0.0854458038727605,63.1,32.0,200.0,55.6,185.0,164,70,110,108,32,159,160,85,115,96,102,160,29,50,91
Mark Hubbard,7000,0.08048654569008049,58.1,47.6,150.0,60.0,113.0,465,126,105,88,148,109,85,95,100,96,61,104,58,110,103
Peter Malnati,6100,0.07794885084815178,81.3,57.2,1000.0,27.8,199.0,46,173,174,177,7,168,177,61,178,172,178,120,178,180,98
Michael Thorbjornsen,7000,0.07785768290513652,59.1,60.6,125.0,60.0,132.0,248,91,18,101,163,154,33,25,115,61,8,5,93,11,169
Trey Mullinax,6500,0.07717597046321847,64.4,62.7,300.0,46.7,345.0,159,120,48,123,155,16,22,95,35,20,97,16,167,27,139
Harry Higgs,6200,0.07585759297452295,68.1,71.8,300.0,50.0,140.0,74,161,34,168,167,99,132,95,155,135,55,38,119,141,128
Nate Lashley,6300,0.0757026359324321,63.4,76.8,400.0,52.6,208.0,211,99,141,59,111,131,174,135,66,140,166,123,121,93,16
Jeremy Paul,6400,0.07496882036621036,67.3,60.6,500.0,44.4,244.0,81,128,37,158,113,127,71,61,84,9,59,32,128,63,91
Taylor Dickson,6100,0.0746238172749211,72.8,60.6,600.0,44.4,214.0,47,139,145,141,53,109,172,61,155,165,165,132,109,164,36
Kris Ventura,6200,0.07309590433057706,65.4,60.6,500.0,54.5,217.0,173,148,88,134,162,69,123,145,100,96,19,25,91,74,129
Olin Browne,6000,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Thorbjorn Olesen,7700,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Matthew McCarty,7200,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
Frankie Capan,6100,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
David Ford,6600,0.07159402240434079,90.0,60.6,1000.0,60.6,1000.0,0,94,96,93,95,92,95,85,85,93,96,99,91,98,93
